trial_type,go_nogo,stim_type,stim_file,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,stimulus_image,trial_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,preTrial.stopped,iceTrial.started,stopSignal.started,imageTarg.started,keyResp.started,stopSignal.stopped,imageTarg.stopped,keyResp.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,go_accuracy,go_reaction_time,adjusted_buzz_time,postTrial.started,textPostTrial.started,postTrial.stopped,textPreTrialFix.stopped,keyResp.rt,keyResp.duration,textPostTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.38120812499983003,,0.3322698749980191,0.33235887499904493,0.3323795420001261,0.33265529200434685,0.3326614590041572,0.33275175000017043,0.33275700000376673,0.38120812499983003,0.38120812499983003,1.5598502089997055,space,1.1579499579966068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Positive,go,positive_image,None,a,None,,,,,0,0,0,0,0,0,0,33,2.319290584004193,,,,,,,,,,,,,,,1.5603060420035035,1.5745928340038517,1.5745928340038517,2.2631930420029676,space,0.6828405000051134,None,2.2770420000015292,0.35,Naturalistic_scenes/Ambiguous/7062.jpg,1.25,2.3051063750026515,2.3051147500009392,2.319290584004193,2.6707084590016166,2.662620875002176,2.662648541998351,2.6707084590016166,3.167038625004352,3.16704700000264,3.1917675499978944,3.4197597919992404,3.4197597919992404,3.6989570840014494,4.679117209001561,4.679117209001561,4.662236459000269,None,0,0,[],0.25,4.662994874997821,4.679117209001561,5.669386166999175,,,,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,1,1,7,5.682363291998627,,,,,,,,,,,,,,,,,,,,,,5.669579916997463,0.15,Naturalistic_scenes/Ambiguous/2280.jpg,1.25,5.676843375003955,5.676855792000424,5.682363291998627,5.83570845900249,5.82918591699854,5.829205499998352,5.83570845900249,6.328830792001099,6.328837499997462,6.336849474997143,6.586758249999548,6.586758249999548,6.84118275000219,7.837814792001154,7.837814792001154,7.8293178340027225,None,0,0,[],0.25,7.829761834000237,7.837814792001154,8.836167041998124,6.338103458998376,,,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Negative,go,negative_image,None,l,None,,,,,0,0,0,0,0,2,2,18,8.859368124998582,,,,,,,,,,,,,,,,,,,,,,8.836366125004133,0.3,Naturalistic_scenes/Ambiguous/2580.jpg,1.25,8.853743250001571,8.85375320899766,8.859368124998582,9.161872541997582,9.152477458999783,9.152487209001265,9.161872541997582,9.653939042000275,9.65394558400294,9.670396324999455,9.903980208997382,9.903980208997382,10.174491625002702,11.154784500002279,11.154784500002279,11.145679417000792,l,0,1,0.45405712500360096,0.25,11.146525459000259,11.154784500002279,12.152561750001041,,0.45405712500360096,None,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Positive,no_go,positive_image,None,None,None,,,,,0,0,0,0,0,3,3,47,12.18086824999773,,,,,,,,,,,,,,,,,,,,,,12.152775542002928,0.3,Naturalistic_scenes/Ambiguous/2034.jpg,1.25,12.175429292001354,12.175439459002519,12.18086824999773,12.483702208999603,12.47857274999842,12.478586042001552,12.483702208999603,12.978858709000633,12.97887733400421,13.011722691995965,13.235775792003551,13.235775792003551,13.519626499997685,14.491486459002772,14.491486459002772,14.479226834002475,a,0,0,0.36147879200143507,0.25,14.479872208998131,14.491486459002772,15.4851049170029,,0.36147879200143507,None,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Positive,go,positive_image,None,a,None,,,,,0,0,0,0,0,4,4,28,15.504929333998007,,,,,,,,,,,,,,,,,,,,,,15.485295584003325,0.2,Naturalistic_scenes/Ambiguous/7242.jpg,1.25,15.499510125002416,15.499520334000408,15.504929333998007,15.711706875001255,15.702899084004457,15.702908749997732,15.711706875001255,16.203045709000435,16.203055500001938,16.219509867001037,16.453119249999872,16.453119249999872,16.725479084001563,17.70125166700018,17.70125166700018,17.695344250001654,l,0,0,0.661077958997339,0.25,17.695587834001344,17.70125166700018,18.694811834000575,,0.661077958997339,None,18.717257459000393,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Positive,go,positive_image,None,a,None,,,,,0,0,0,0,0,5,5,32,18.717257459000393,,,,,,,,,,,,,,,,,,,,,,18.69532941700163,0.2,Naturalistic_scenes/Ambiguous/7506.jpg,1.25,18.71149654200417,18.711507209001866,18.717257459000393,18.917814125001314,18.911737084003107,18.911746709003637,18.917814125001314,19.41235725000297,19.412364000003436,19.42882924199803,19.661763500000234,19.661763500000234,19.93371487499826,20.922970084000553,20.922970084000553,20.91280108399951,a,0,1,0.5173705420020269,0.25,20.913477125002828,20.922970084000553,21.91962479200447,,0.5173705420020269,None,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Positive,go,positive_image,None,a,None,,,,,0,0,0,0,0,6,6,31,21.936087916998076,,,,,,,,,,,,,,,,,,,,,,21.91982100000314,0.35,Naturalistic_scenes/Ambiguous/2495.jpg,1.25,21.930640625003434,21.930649000001722,21.936087916998076,22.28634295899974,22.278243459004443,22.27828079200117,22.28634295899974,22.778743374998157,22.77876170899981,22.795142241996658,23.03829133399995,23.03829133399995,23.303026209003292,24.295063792000292,24.295063792000292,24.285544874997868,a,0,1,0.4945571670032223,0.25,24.285886750003556,24.295063792000292,25.286173959000735,,0.4945571670032223,None,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Negative,go,negative_image,None,l,None,,,,,0,0,0,0,0,7,7,14,25.305922291998286,,,,,,,,,,,,,,,,,,,,,,25.28638570899784,0.25,Naturalistic_scenes/Ambiguous/7058.jpg,1.25,25.300523999998404,25.300532125002064,25.305922291998286,25.56069425000169,25.554303249999066,25.554311959000188,25.56069425000169,26.062102000003506,26.06210850000207,26.07857424200047,26.301639083998452,26.301639083998452,26.58183787499729,27.556083875002514,27.556083875002514,27.54617762500129,None,0,0,[],0.25,27.546692125004483,27.556083875002514,28.55379783399985,,,,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,8,8,11,28.57143475000339,,,,,,,,,,,,,,,,,,,,,,28.55400104200089,0.3,Naturalistic_scenes/Ambiguous/7248.jpg,1.25,28.566018208999594,28.566026209002302,28.57143475000339,28.87812012500217,28.871056292002322,28.8710655840041,28.87812012500217,29.37009083400335,29.370097167004133,29.386316992003415,29.62007654199988,29.62007654199988,29.891759792000812,30.872048459001235,30.872048459001235,30.862486250000075,a,0,1,0.6600015000003623,0.25,30.8631275000007,30.872048459001235,31.86694137500308,29.38544629199896,0.6600015000003623,None,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Positive,go,positive_image,None,a,None,,,,,0,0,0,0,0,9,9,35,31.88472300000285,,,,,,,,,,,,,,,,,,,,,,31.86711450000439,0.3,Naturalistic_scenes/Ambiguous/1947.jpg,1.25,31.879228208999848,31.87923808400228,31.88472300000285,32.186685334003414,32.178960666999046,32.17898808400059,32.186685334003414,32.679454334000184,32.67947095900308,32.695306033997625,32.93765725000412,32.93765725000412,33.20394308400137,34.18703649999952,34.18703649999952,34.17948316699767,a,0,1,0.7472307919961167,0.25,34.18012929199904,34.18703649999952,35.17948245900334,32.697771084000124,0.7472307919961167,None,35.199762083997484,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Positive,go,positive_image,None,a,None,,,,,0,0,0,0,0,10,10,34,35.199762083997484,,,,,,,,,,,,,,,,,,,,,,35.17999908400088,0.15,Naturalistic_scenes/Ambiguous/9000.jpg,1.25,35.194352874998,35.19436649999989,35.199762083997484,35.35120625000127,35.34616941700369,35.34617874999822,35.35120625000127,35.84534895900288,35.845370542003366,35.861040284001504,36.10266375000356,36.10266375000356,36.36639699999796,37.35324216700246,37.35324216700246,37.34596929200052,a,0,1,0.5141760000042268,0.25,37.34660754200013,37.35324216700246,38.34458766700118,35.86509649999789,0.5141760000042268,None,38.36176670900022,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Negative,go,negative_image,None,l,None,,,,,0,0,0,0,0,11,11,20,38.36176670900022,,,,,,,,,,,,,,,,,,,,,,38.34476912500395,0.15,Naturalistic_scenes/Ambiguous/2575.jpg,1.25,38.35578708400135,38.35579641700315,38.36176670900022,38.51209041700349,38.50331533399731,38.50332404200162,38.51209041700349,39.01208037500328,39.01210512500256,39.02847840899922,39.25108087500121,39.25108087500121,39.53246883400425,40.505836709002324,40.505836709002324,40.496740667003905,a,0,0,0.7947546249997686,0.25,40.49742900000274,40.505836709002324,41.5030906250031,,0.7947546249997686,None,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,12,12,10,41.52540258400404,,,,,,,,,,,,,,,,,,,,,,41.50325833399984,0.2,Naturalistic_scenes/Ambiguous/2521.jpg,1.25,41.52001208400179,41.520021959004225,41.52540258400404,41.727708874997916,41.72096308400069,41.72097216700058,41.727708874997916,42.21945320899977,42.219462334003765,42.23567328400095,42.47007775000384,42.47007775000384,42.74098049999884,43.723401499999454,43.723401499999454,43.71271495900146,None,0,0,[],0.25,43.71319741700427,43.723401499999454,44.719235959004436,42.23988258399913,,,,165019,001,2024-02-09_12h42.01.574,ESST,2023.2.3,120.76559445476516,2024-02-09 12h42.10.904845 -0800,
