trial_type,go_nogo,stim_type,stim_file,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,trial_img,trial_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,stopSignal.started,imageTarg.started,keyResp.started,stopSignal.stopped,imageTarg.stopped,keyResp.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,go_accuracy,go_reaction_time,adjusted_buzz_time,postTrial.started,textPostTrial.started,textPostTrial.stopped,postTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.4758912080033042,,0.42726500000208034,0.4273792500025593,0.4273998330027098,0.4276343750025262,0.4276398750007502,0.42774575000294135,0.42775237500245566,0.4758912080033042,0.4758912080033042,0.9996968330015079,space,0.5029634159982379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684942,001,2024-02-09_11h47.03.375,ESST,2023.2.3,None,2024-02-09 11h47.09.706134 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,0,0,0,1.5625129580002977,,,,,,,,,,,,,,,1.0001481670005887,1.013197708001826,1.013197708001826,1.5360466250022,space,0.5210865000008198,None,1.5489875830025994,0.3,Naturalistic_scenes/Positive/4624.jpg,1.25,1.5492728750032256,1.5492794170022535,1.5625129580002977,1.8587521670015121,1.8517575420009962,1.8517827080031566,1.8587521670015121,2.3689447500000824,2.341669333000027,2.3416825000022072,2.37462220833598,2.5922150000005786,2.5922150000005786,2.867892625003151,3.8453584580020106,3.8453584580020106,3.835114458001044,a,0,0.5556402500005788,None,1,0.5556402500005788,0.25,3.8362172920024022,3.8453584580020106,4.841619250000804,4.834780917000899,684942,001,2024-02-09_11h47.03.375,ESST,2023.2.3,None,2024-02-09 11h47.09.706134 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,1,1,1,4.841619250000804,,,,,,,,,,,,,,,,,,,,,,4.835315292002633,0.15,Naturalistic_scenes/Positive/4006.jpg,1.25,4.835783958002139,4.835804708000069,4.841619250000804,4.984031916999811,4.975598791999801,4.975615833001939,4.984031916999811,5.493291083002987,5.468216125002073,5.468234875002963,5.5009023753341655,5.7245153750009194,5.7245153750009194,5.996210625002277,6.967048333001003,6.967048333001003,6.957746000000043,a,0,0.5444860419993347,None,1,0.5444860419993347,0.25,6.958042625003145,6.967048333001003,7.958240292002301,7.951473500001157,684942,001,2024-02-09_11h47.03.375,ESST,2023.2.3,None,2024-02-09 11h47.09.706134 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,2,2,2,7.958240292002301,,,,,,,,,,,,,,,,,,,,,,7.9520028330007335,0.15,Naturalistic_scenes/Positive/4687.jpg,1.25,7.952395250002155,7.952413292001438,7.958240292002301,8.100806625003315,8.091151125001488,8.091167000002315,8.100806625003315,8.60497079200286,8.584936667000875,8.584958082999947,8.600934166668837,8.84231662500315,8.84231662500315,9.096334875001048,10.092247083000984,10.092247083000984,10.085284542001318,a,0,0.575649375001376,None,1,0.575649375001376,0.25,10.08595804200013,10.092247083000984,11.092504583000846,11.08509687500191,684942,001,2024-02-09_11h47.03.375,ESST,2023.2.3,None,2024-02-09 11h47.09.706134 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,3,3,3,11.092504583000846,,,,,,,,,,,,,,,,,,,,,,11.085620625002775,0.25,Naturalistic_scenes/Positive/4659.jpg,1.25,11.086098083000252,11.086115542002517,11.092504583000846,11.340402958001505,11.334832708002068,11.334858583002642,11.340402958001505,11.844157375002396,11.825654542000848,11.825664083000447,11.84193779166914,12.074806792003073,12.074806792003073,12.336920500001725,13.317161250000936,13.317161250000936,13.307934167001804,a,0,0.5271538749984757,None,1,0.5271538749984757,0.25,13.308254542000213,13.317161250000936,14.308133875001658,14.301504958002624,684942,001,2024-02-09_11h47.03.375,ESST,2023.2.3,None,2024-02-09 11h47.09.706134 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,4,4,4,14.308133875001658,,,,,,,,,,,,,,,,,,,,,,14.30207112500284,0.15,Naturalistic_scenes/Positive/8510.jpg,1.25,14.302382958001544,14.302402875000553,14.308133875001658,14.450873792000493,14.44124529200053,14.441260750001675,14.450873792000493,14.950650292001228,14.933911042000545,14.93391870800042,14.950339708666677,15.184752791999927,15.184752791999927,15.44687929200154,16.425137333000748,16.425137333000748,16.418555500000366,a,0,0.8668558329991356,None,1,0.8668558329991356,0.25,16.41924770800324,16.425137333000748,17.42565754200041,17.418694167001377,684942,001,2024-02-09_11h47.03.375,ESST,2023.2.3,None,2024-02-09 11h47.09.706134 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,5,5,5,17.42565754200041,,,,,,,,,,,,,,,,,,,,,,17.419227166999917,0.35,Naturalistic_scenes/Positive/4668.jpg,1.25,17.41962154200155,17.419638958002906,17.42565754200041,17.76783479200094,17.75855670800229,17.758570000001782,17.76783479200094,18.275561500002368,18.25166654200075,18.2516837080002,18.28433500033546,18.507594208000228,18.507594208000228,18.77783916699991,19.757232750002004,19.757232750002004,19.751588750001247,a,0,0.6604176250002638,None,1,0.6604176250002638,0.25,19.751836917002947,19.757232750002004,20.75006595800005,20.7429777920006,684942,001,2024-02-09_11h47.03.375,ESST,2023.2.3,None,2024-02-09 11h47.09.706134 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,6,6,6,20.75006595800005,,,,,,,,,,,,,,,,,,,,,,20.743250750001607,0.3,Naturalistic_scenes/Positive/4240.jpg,1.25,20.743460167002922,20.74346904200138,20.75006595800005,21.042666958001064,21.035501500002283,21.035536875002435,21.042666958001064,21.542225458000757,21.525495958001557,21.525506875001156,21.541748708667242,21.775163792000967,21.775163792000967,22.037677792002796,23.016620083002636,23.016620083002636,23.009670542000094,l,0,1.1376373329985654,None,1,1.1376373329985654,0.25,23.009963167001843,23.016620083002636,24.009081375003007,24.001733875000355,684942,001,2024-02-09_11h47.03.375,ESST,2023.2.3,None,2024-02-09 11h47.09.706134 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,7,7,7,24.009081375003007,,,,,,,,,,,,,,,,,,,,,,24.002264958002343,0.25,Naturalistic_scenes/Positive/5811.jpg,1.25,24.002726875001827,24.002750250001554,24.009081375003007,24.25135650000084,24.24205108300157,24.242065708000155,24.25135650000084,24.755914250003116,24.735452417000488,24.735474791999877,24.768105291336298,24.991472333000274,24.991472333000274,25.263545000001614,26.234204458000022,26.234204458000022,26.224924583002576,l,0,0.29409608299829415,None,1,0.29409608299829415,0.25,26.22522687500168,26.234204458000022,,27.226646792001702,684942,001,2024-02-09_11h47.03.375,ESST,2023.2.3,None,2024-02-09 11h47.09.706134 -0800,
,,,,,,,,,,,,,,,,,,27.231997167000372,,,,,,,,,,,,,,,,,,,,,,27.227012417002697,0.2,Naturalistic_scenes/Positive/4676.jpg,1.25,27.227417707999848,27.227427625002747,27.231997167000372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
