trial_type,go_nogo,stim_type,stim_subtype,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,prepStims.started,prepStims.stopped,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,trial_img,trial_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,preTrial.stopped,iceTrial.started,stopSignal.started,imageTarg.started,keyResp.started,stopSignal.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,go_accuracy,go_reaction_time,postTrial.started,textPostTrial.started,postTrial.stopped,textPreTrialFix.stopped,buzz_time,imageTarg.stopped,keyResp.stopped,no_go_acc,new_buzz_time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.20470866599862347,,0.013543999999455991,0.014117875000010827,0.15685712499907822,0.1569602079998731,0.15698295799847983,0.15800099999978556,0.1580067909999343,0.1580975409997336,0.1581031659989094,0.20470866599862347,0.20470866599862347,1.7981677079988003,space,1.56727200000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,0,0,20,2.4922823749984673,,,,,,,,,,,,,,,,,1.7986244999992778,1.8135704579999583,1.8135704579999583,2.463376457999402,space,0.644783166999332,None,2.4776533329986705,0.35,Naturalistic_scenes/Ambiguous/2305.jpg,1.25,2.477916790998279,2.4779251659983856,2.4922823749984673,2.8458725000000413,2.8369741659989813,2.8369836659985594,2.8458725000000413,3.3384306249990914,3.3384422909985005,3.3710768741995705,3.588519124999948,3.588519124999948,3.8758831249997456,4.471184290998281,a,0,0.8755585829985648,None,0,0.8755585829985648,4.471810290999201,4.485752874999889,5.479040874999555,,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,1,1,18,5.484771457999159,,,,,,,,,,,,,,,,,,,,,,,,5.479256415999771,0.2,Naturalistic_scenes/Negative/2095.jpg,1.25,5.4795431249985995,5.479551790998812,5.484771457999159,5.684358457998314,5.679184207998333,5.679194290998566,5.684358457998314,6.178850374999456,6.178860124999119,6.203020812399154,6.435106375000032,6.435106375000032,6.706374957999287,6.980777749999106,l,0,0.5366329999997106,None,1,0.5366329999997106,6.981809874998362,6.992220999998608,7.984178332999363,6.200111832999028,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,2,2,22,7.995607415999984,,,,,,,,,,,,,,,,,,,,,,,,7.984346082999764,0.3,Naturalistic_scenes/Ambiguous/9468.jpg,1.25,7.984634458000073,7.9846427499996935,7.995607415999984,8.301467915998728,8.296080040998277,8.296089999999822,8.301467915998728,8.7959947499985,8.796001332999367,8.820193145399935,9.051778415998342,9.051778415998342,9.32573683299961,9.470436290999714,a,0,0.4115978329991776,None,0,0.4115978329991776,9.470854582999891,9.495769290999306,10.47912095799984,8.820805499999551,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Positive,no_go,positive_image,none,None,None,,,,,0,0,0,0,0,3,3,45,10.484995749999143,,,,,,,,,,,,,,,,,,,,,,,,10.479329374998997,0.25,Naturalistic_scenes/Negative/3015.jpg,1.25,10.479666582999926,10.479674999998679,10.484995749999143,10.734882249998918,10.729488999999376,10.729499457998827,10.734882249998918,11.22935729099845,11.229363999998895,11.737485520799783,11.485313707999012,11.485313707999012,12.242100749999736,12.730160249999244,None,0,,,,,12.734176457999638,12.743485375000091,13.734326624999085,11.248468957999648,0.5,12.743485375000091,12.743485375000091,1,0.55,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,4,4,16,13.74577966600009,,,,,,,,,,,,,,,,,,,,,,,,13.734505165999508,0.15,Naturalistic_scenes/Negative/6370.jpg,1.25,13.73478624999916,13.734795915999712,13.74577966600009,13.901132207998671,13.896009082998717,13.896018874998845,13.901132207998671,14.396072749999803,14.396079165999254,14.412122624598489,14.651366540998424,14.651366540998424,14.919396957999197,15.157290915998601,a,0,0.4957664579997072,None,0,0.4957664579997072,15.157709999999497,15.16585374999886,16.162462665999556,14.414362165998682,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,5,5,15,16.16821075000007,,,,,,,,,,,,,,,,,,,,,,,,16.16266366599848,0.3,Naturalistic_scenes/Ambiguous/2396.jpg,1.25,16.162954333000016,16.1629622499986,16.16821075000007,16.468020249998517,16.462777332999394,16.46278641599929,16.468020249998517,16.96282995799993,16.962837915998534,16.979140041599386,17.221448540998608,17.221448540998608,17.482760374999998,17.855343915998674,a,0,0.6284625420012162,None,0,0.6284625420012162,17.855724915998508,17.865380707999066,18.862470624999332,,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,6,6,28,18.867980915998487,,,,,,,,,,,,,,,,,,,,,,,,18.862670374999652,0.25,Naturalistic_scenes/Negative/1019.jpg,1.25,18.862921540998286,18.862929624998287,18.867980915998487,19.118849957998464,19.11312262499996,19.113131707999855,19.118849957998464,19.612815957998464,19.612823665998803,19.628827874599303,19.87961391599856,19.87961391599856,20.13728945799994,20.335368999998536,l,0,0.450840874998903,None,0,0.450840874998903,20.335772165999515,20.345987124999738,21.346006165998915,19.631094665999626,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,7,7,2,21.3516674579987,,,,,,,,,,,,,,,,,,,,,,,,21.346186332999423,0.2,Naturalistic_scenes/Negative/1321.jpg,1.25,21.346482707998803,21.346490957999777,21.3516674579987,21.55167891599922,21.546280290998766,21.546311249998325,21.55167891599922,22.046282915998745,22.046308624998346,22.062301957599267,22.30137137499878,22.30137137499878,22.570990874999552,22.8232260829991,l,0,0.5130162499990547,None,1,0.5130162499990547,22.823609707998912,22.845896165999875,23.829227332998926,22.061987040999156,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,8,8,14,23.834959707999587,,,,,,,,,,,,,,,,,,,,,,,,23.829396790999454,0.3,Naturalistic_scenes/Positive/4656.jpg,1.25,23.829777790999287,23.829787665999902,23.834959707999587,24.134588832999725,24.129495040999245,24.12950408299912,24.134588832999725,24.629608290999386,24.629615832998752,24.645903124599137,24.885376874999565,24.885376874999565,25.14991233299952,25.464702582999962,a,0,0.5710499589986284,None,0,0.5710499589986284,25.46562533299948,25.476090040998315,26.467671790998793,,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Negative,no_go,negative_image,none,None,None,,,,,0,0,0,0,0,9,9,39,26.479216749999978,,,,,,,,,,,,,,,,,,,,,,,,26.467843874999744,0.25,Naturalistic_scenes/Negative/1200.jpg,1.25,26.468158665999,26.46816624999883,26.479216749999978,26.73460729099861,26.729497540998636,26.729508165999505,26.73460729099861,27.229646207999394,27.22965345800003,27.788156270798755,27.485101040998416,27.485101040998416,28.29204891599875,28.730895082999268,None,0,,,,,28.731406082999456,28.74082745799933,29.734428624999055,,0.55,28.74082745799933,28.74082745799933,1,0.6000000000000001,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,10,10,34,29.745949749998545,,,,,,,,,,,,,,,,,,,,,,,,29.734630040999036,0.2,Naturalistic_scenes/Ambiguous/7505.jpg,1.25,29.734920707998754,29.734928915999262,29.745949749998545,29.95129049999923,29.94623054099975,29.94623962500009,29.95129049999923,30.445834415999343,30.44584358299835,30.469993228399655,30.702010540999254,30.702010540999254,30.975263874999655,31.28735795799912,a,0,0.582915499999217,None,1,0.582915499999217,31.287749832999907,31.297250040999643,32.296520665999196,30.470778332999544,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,11,11,7,32.302301915999124,,,,,,,,,,,,,,,,,,,,,,,,32.296780165999735,0.3,Naturalistic_scenes/Positive/2340.jpg,1.25,32.29702354099936,32.29703633299869,32.302301915999124,32.6040281659989,32.597439665998536,32.5974713329997,32.6040281659989,33.09759854099866,33.09761608299959,33.11324799959911,33.35449924999921,33.35449924999921,33.62422570799936,34.06552229099907,a,0,0.7093038330003765,None,1,0.7093038330003765,34.06632929099942,34.07531104099871,35.070627290999255,33.117111582998405,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,12,12,17,35.07987074999983,,,,,,,,,,,,,,,,,,,,,,,,35.070826707999004,0.35,Naturalistic_scenes/Positive/2209.jpg,1.25,35.07103195799937,35.071040957998775,35.07987074999983,35.429934999998295,35.42165424999985,35.421663790999446,35.429934999998295,35.93028470799982,35.93030854099925,35.946505957599214,36.17985858299835,36.17985858299835,36.45653545799905,36.780510332999256,a,0,0.5931882499990024,None,0,0.5931882499990024,36.78127087499888,36.79074383299849,37.78534091599977,,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,13,13,32,37.79695466599878,,,,,,,,,,,,,,,,,,,,,,,,37.78552679099994,0.35,Naturalistic_scenes/Positive/8497.jpg,1.25,37.785749582999415,37.78575849999834,37.79695466599878,38.14665162499841,38.138269374998345,38.138278707998325,38.14665162499841,38.63818549999996,38.63819287499973,38.65423166659966,38.888559874998464,38.888559874998464,39.159894582999186,39.4811214579986,l,0,0.5843143750007584,None,0,0.5843143750007584,39.48214141599965,39.49204524999914,40.48488604099839,38.65535754099983,,,,,,867651,001,2024-02-08_16h45.24.060,ESST,2023.2.3,119.52518619667491,2024-02-08 16h45.29.612223 -0800,
