trial_type,go_nogo,stim_type,stim_subtype,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,prepStims.started,prepStims.stopped,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,trial_img,trial_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,stopSignal.started,imageTarg.started,keyResp.started,stopSignal.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,go_accuracy,go_reaction_time,postTrial.started,textPostTrial.started,postTrial.stopped,imageTarg.stopped,keyResp.stopped,buzz_time,no_go_acc,new_buzz_time,textPostTrial.stopped,blockFeedback.started,feedbackText.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.21024066599966318,,0.01108725000085542,0.011699750000843778,0.16185650000079477,0.16202650000013818,0.1620524160007335,0.16398841599948355,0.16399420800007647,0.16414079099922674,0.16414624999924854,0.21024066599966318,0.21024066599966318,6.589095625000482,space,6.357439667001017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,0,0,1,8.474948666000273,,,,,,,,,,,,,,,,,6.589601333000246,6.603114416000608,6.603114416000608,8.447147790999225,space,1.8369821249998495,None,8.460879750000458,0.2,Naturalistic_scenes/Negative/6230.jpg,1.25,8.461146707999433,8.461155540999243,8.474948666000273,8.67970858300032,8.671982541000034,8.6720042500001,8.67970858300032,9.199798290999752,9.172236958000212,9.172254416000214,9.19711574550056,9.431505415999709,9.431505415999709,9.700027208000392,10.046326125000633,l,0,0.6085723329997563,None,1,0.6085723329997563,10.046934207999584,10.057932207999329,11.054124415999468,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,1,1,24,11.059797207999509,,,,,,,,,,,,,,,,,,,,,,,,11.05433045800055,0.35,Naturalistic_scenes/Ambiguous/5395.jpg,1.25,11.054612624999208,11.05462025000088,11.059797207999509,11.410079332999885,11.404756791000182,11.40476658300031,11.410079332999885,,11.905030500000066,11.905053458000111,11.930436870499397,12.159904207999716,12.159904207999716,12.434682582999812,12.788837707999846,a,0,0.6202962919996935,None,1,0.6202962919996935,12.78988224999921,12.798658207999324,13.792493458000536,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,2,2,19,13.804071000000476,,,,,,,,,,,,,,,,,,,,,,,,13.792668207999668,0.15,Naturalistic_scenes/Negative/3000.jpg,1.25,13.792930499999784,13.79293991600025,13.804071000000476,13.959750957999859,13.954542916000719,13.954552208000678,13.959750957999859,,14.454750790999242,14.45475712500047,14.471758983000107,14.711894665999353,14.711894665999353,14.982899958000417,15.955588250000801,None,0,,,0,[],15.956125082999279,15.971439375000045,16.959307666000313,15.971439375000045,15.971439375000045,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,3,3,15,16.97085366600004,,,,,,,,,,,,,,,,,,,,,,,,16.95947625000008,0.25,Naturalistic_scenes/Negative/3030.jpg,1.25,16.95972412499941,16.959733499999857,16.97085366600004,17.226326957999845,17.221226166000633,17.22123562500019,17.226326957999845,,17.721471999999267,17.72149808299946,17.738418774999808,17.979048082999725,17.979048082999725,18.248856624999462,18.48981158300012,l,0,0.5090909580012521,None,1,0.5090909580012521,18.49037329100065,18.499515375000556,19.492936415999793,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,4,4,13,19.505039375000706,,,,,,,,,,,,,,,,,,,,,,,,19.493111290999877,0.35,Naturalistic_scenes/Positive/4310.jpg,1.25,19.493315875000917,19.493327000000136,19.505039375000706,19.854221875000803,19.846832416000325,19.846841832999417,19.854221875000803,20.36424316599914,20.34599304100084,20.346000499999718,20.362648233000435,20.595227040999816,20.595227040999816,20.86841479100076,21.31355587500002,a,0,0.7109161670014146,None,0,0.7109161670014146,21.313985208000304,21.32581645800019,22.32085299999926,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,5,5,30,22.32670962500015,,,,,,,,,,,,,,,,,,,,,,,,22.32102704099998,0.2,Naturalistic_scenes/Positive/4680.jpg,1.25,22.321275832999163,22.32128512499912,22.32670962500015,22.52923458300029,22.521614499999487,22.521639832999426,22.52923458300029,,23.021813666000526,23.02183154100021,23.0387573159991,23.280503040999974,23.280503040999974,23.54844349999985,23.7393148329993,a,0,0.45367574999909266,None,1,0.45367574999909266,23.74026529100047,23.74953083299988,24.74270908300059,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,no_go,negative_image,none,None,None,,,,,0,0,0,0,0,6,6,37,24.754273415999705,,,,,,,,,,,,,,,,,,,,,,,,24.742903500000466,0.15,Naturalistic_scenes/Negative/1200.jpg,1.25,24.743195458000628,24.743203665999317,24.754273415999705,24.90985512500083,24.90465249999943,24.904661541000678,24.90985512500083,25.42260399999941,25.404855082999347,25.404862875000617,25.90398417850083,25.66010158300014,25.66010158300014,26.409022499999992,26.905771749999985,None,0,,,,,26.910210874999393,26.919451833000494,27.92100824999943,26.919451833000494,26.919451833000494,0.5,1,0.55,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,no_go,positive_image,none,None,None,,,,,0,0,0,0,0,7,7,45,27.926537625000492,,,,,,,,,,,,,,,,,,,,,,,,27.92117791599958,0.35,Naturalistic_scenes/Positive/7502.jpg,1.25,27.921422749999692,27.92143287500039,27.926537625000492,28.276525790999585,28.271368457999415,28.27137833300003,28.276525790999585,28.78912866599967,28.77203370800089,28.772068000000218,29.320718262500304,29.02773233299922,29.02773233299922,29.82532395800081,30.2721754159993,None,0,,,,,30.272746250000637,30.28010329099925,31.2719519580005,30.28010329099925,30.28010329099925,0.55,1,0.6000000000000001,31.279736624999714,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,8,8,14,31.279736624999714,,,,,,,,,,,,,,,,,,,,,,,,31.272469040999567,0.3,Naturalistic_scenes/Negative/9254.jpg,1.25,31.27283391600031,31.27285112500067,31.279736624999714,31.57914612499917,31.572339958000157,31.57236654100052,31.57914612499917,32.09447737499977,32.0718539999998,32.07187237499966,32.09646253749961,32.330170790999546,32.330170790999546,32.601543666,33.32243224999911,l,0,0.9830534590000752,None,1,0.9830534590000752,33.32351591599945,33.33310100000017,34.33000479099974,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
